"","Lecture","Responsive","Student_Guide","Lab_Exercises","Classroom","Computer","Network","See_Hear","Had_Knowledge_Skills","Learned_What_I_Needed","Technical_Details"
"2",40,40,40,40,30,30,30,40,30,40,30
"3",40,40,40,40,40,40,40,40,40,40,40
"4",40,40,40,40,20,40,40,40,40,40,40
"5",40,40,40,40,40,20,40,40,40,40,40
"6",40,40,40,40,40,40,40,40,40,40,40
"7",40,40,40,40,30,40,40,40,40,40,40
"8",30,40,40,40,20,40,40,40,40,40,40
"9",40,40,40,40,30,40,40,40,30,30,40
"10",40,40,40,40,30,30,30,40,40,40,30
"11",40,40,40,40,30,30,40,40,40,40,40
"12",40,40,40,40,40,40,40,40,40,40,40
"13",40,40,40,40,30,40,40,40,40,40,40
"14",40,40,40,40,40,40,40,40,40,40,40
"15",40,40,40,40,40,40,30,40,40,40,30
"16",40,40,40,30,30,30,30,30,40,30,30
"17",40,40,30,40,30,30,30,30,40,40,40
"18",40,40,40,40,40,40,40,40,40,40,40
"19",40,40,40,40,40,40,40,40,30,40,40
"20",40,40,40,40,40,40,40,40,40,40,40
"21",40,40,40,40,30,40,40,40,30,30,40
"22",40,40,40,40,30,40,40,40,30,40,40
"23",40,40,40,40,40,40,40,40,40,40,40
"24",40,40,40,40,30,40,40,40,40,40,40
"25",40,40,30,30,30,30,30,40,40,40,40
"26",40,40,40,40,30,40,40,40,40,40,40
"27",40,40,30,30,30,30,40,40,30,40,30
"28",40,40,40,40,30,40,40,40,40,40,40
"29",40,40,40,40,40,40,40,40,40,40,40
"30",40,40,40,40,40,40,40,40,40,40,40
"31",40,40,40,40,30,40,30,40,40,40,40
"32",40,40,40,40,30,40,40,30,30,30,30
"33",40,40,40,40,30,30,40,40,40,40,30
"34",40,40,40,40,40,40,40,30,30,20,30
"35",30,30,40,40,40,30,30,40,30,30,30
"36",40,40,40,40,30,30,30,40,30,40,30
"37",40,40,40,40,40,40,30,40,30,30,30
"38",40,40,40,40,30,40,30,40,30,40,40
"39",40,40,40,40,40,40,40,40,30,30,20
"40",30,40,30,40,30,40,40,30,30,40,30
"41",40,40,40,30,30,40,40,40,30,30,30
"42",30,30,40,40,40,40,40,30,30,30,30
"43",40,40,40,40,30,30,30,30,30,30,40
"44",40,40,30,30,30,30,30,30,30,30,40
"45",40,40,30,30,30,30,30,30,30,30,30
"46",30,40,40,40,40,30,40,40,30,30,30
"47",40,40,40,40,40,40,40,40,40,40,40
"48",40,40,40,40,40,40,40,40,40,40,40
"49",40,40,30,30,40,40,40,40,40,30,30
"50",40,40,40,40,40,40,40,40,30,40,40
"51",40,40,30,30,30,30,30,30,30,30,30
"52",30,30,30,30,30,30,30,30,30,30,30
"53",30,40,30,30,30,40,30,40,30,30,30
"54",40,40,30,40,30,30,30,30,40,30,40
"55",40,40,30,40,40,40,40,40,20,30,30
"56",30,40,30,30,30,40,40,30,30,20,30
"57",40,40,30,30,30,40,40,40,30,40,40
"58",30,40,40,40,30,40,40,40,30,30,30
"59",40,40,30,30,30,40,40,40,40,40,30
"60",40,40,40,10,40,40,40,40,40,40,40
"61",40,40,30,40,40,40,40,40,40,40,40
"62",40,40,40,40,30,40,40,40,30,30,40
"63",40,40,40,40,40,30,40,40,40,40,40
"64",40,40,40,40,40,40,40,40,40,40,40
"65",40,40,30,30,30,30,30,30,40,30,30
"66",40,40,30,40,30,40,40,40,40,40,30
"67",40,40,40,40,30,30,30,40,40,30,40
"68",40,40,30,40,30,40,40,40,40,40,40
"69",30,30,30,30,20,20,20,30,30,30,30
"70",30,30,30,30,30,30,30,30,30,30,30
"71",20,30,20,20,40,40,40,30,40,20,30
"72",30,40,30,30,30,30,30,30,30,30,30
"73",40,40,40,40,40,40,40,40,40,40,30
"74",40,40,30,40,30,NA,40,30,30,30,40
"75",40,40,30,30,30,30,30,40,30,30,30
"76",40,40,40,40,30,30,30,40,30,40,40
"77",40,40,40,40,40,40,40,40,40,40,40
"78",40,40,20,30,30,40,10,40,30,30,30
"79",40,40,40,40,30,30,30,30,30,30,30
"80",40,40,30,30,30,30,30,30,30,30,30
"81",40,40,40,40,40,40,40,40,40,40,40
"82",40,40,40,30,40,40,20,40,40,30,40
"83",30,30,30,30,30,30,30,30,40,30,30
"84",40,40,30,40,30,40,40,40,30,40,40
"85",40,40,40,40,40,40,40,40,40,40,40
"86",40,40,30,30,30,40,40,40,40,30,30
"87",30,40,30,30,40,40,40,40,30,30,20
"88",30,40,30,40,40,40,40,40,40,40,30
"89",40,40,30,30,20,40,40,40,30,30,NA
"90",40,40,30,30,40,40,40,40,20,20,30
"91",30,30,30,40,40,40,40,40,30,40,40
"92",40,40,30,40,30,40,40,40,40,30,40
"93",40,40,40,40,30,30,30,30,30,30,40
"94",40,40,40,40,40,40,40,40,40,40,40
"95",40,40,40,40,30,40,40,40,30,30,30
"96",40,40,40,30,20,40,40,40,30,30,30
"97",40,40,30,40,30,30,30,30,30,40,30
"98",30,30,30,30,30,30,30,30,30,20,20
"99",40,40,30,30,30,NA,30,30,30,30,30
"100",40,40,30,40,30,30,40,40,30,30,40
"101",40,40,10,40,20,40,30,40,40,40,30
"102",30,30,30,30,20,30,30,30,30,30,20
"103",40,40,30,40,30,40,40,40,30,40,40
"104",40,40,30,30,30,40,40,40,30,30,30
"105",40,40,40,40,30,40,30,40,30,30,30
"106",30,30,30,30,40,40,40,40,30,20,20
"107",40,40,40,40,30,30,30,40,30,30,30
"108",30,30,30,30,40,40,40,40,40,20,30
"109",40,40,40,40,30,40,40,40,30,40,40
"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",30,40,30,30,30,30,30,30,30,30,30
"112",40,40,40,40,40,40,30,40,40,40,NA
"113",40,40,40,40,30,30,30,40,40,30,40
"114",40,40,40,40,40,30,30,40,30,30,40
"115",40,40,30,40,40,30,30,40,40,40,40
"116",30,NA,30,30,NA,NA,NA,40,40,40,30
"117",40,40,30,30,30,30,30,40,30,30,30
"118",40,40,30,30,30,40,40,40,30,30,30
"119",40,40,40,30,30,30,30,30,40,40,40
"120",40,30,30,30,40,40,40,40,30,20,NA
"121",30,40,30,30,30,30,40,40,NA,30,20
"122",40,40,30,30,30,40,40,40,40,30,NA
"123",30,40,20,30,20,40,40,40,40,30,30
"124",30,30,30,30,30,30,30,30,30,30,NA
"125",30,40,30,30,30,30,30,30,30,40,30
"126",40,40,30,30,30,40,40,40,40,30,30
"127",40,40,40,40,40,40,40,40,40,40,40
"128",40,40,30,30,30,NA,30,30,30,30,30
"129",40,40,40,40,30,30,30,40,40,30,30
"130",40,40,30,30,30,30,30,30,30,30,30
"131",40,40,30,30,40,40,20,40,40,40,30
"132",30,40,30,30,30,30,30,30,30,30,30
"133",40,40,40,30,30,40,20,40,40,40,30
"134",30,40,40,40,30,40,40,40,30,30,30
"135",30,40,20,40,30,40,40,40,30,30,30
"136",40,40,30,30,20,30,30,30,30,30,30
"137",30,40,30,40,30,40,40,20,30,30,30
"138",30,40,40,40,30,40,40,40,30,30,30
"139",30,40,30,30,30,30,30,30,30,30,30
"140",40,40,20,40,40,40,40,40,30,40,40
"141",30,30,40,40,30,40,40,40,30,30,30
"142",30,40,30,30,30,40,40,40,30,30,30
"143",40,40,40,40,30,40,40,40,40,40,20
"144",40,40,40,40,30,30,40,40,40,30,40
"145",40,40,40,40,40,40,40,40,40,20,40
"146",40,40,40,40,40,40,40,40,30,40,40
"147",40,40,40,40,40,40,40,30,30,30,30
"148",40,40,40,40,40,30,40,40,40,40,40
"149",40,40,40,30,30,30,30,30,30,30,30
"150",40,40,40,40,30,40,40,30,40,40,40
"151",40,40,40,40,40,40,40,40,30,40,40
"152",40,40,40,40,40,40,30,40,40,30,40
"153",40,40,40,40,30,30,30,30,30,30,30
"154",40,40,40,40,30,30,30,40,30,30,40
