"","Lecture","Responsive","Student_Guide","Lab_Exercises","Classroom","Computer","Network","See_Hear","Had_Knowledge_Skills","Learned_What_I_Needed","Technical_Details"
"1",40,40,40,40,30,30,30,40,30,40,30
"2",40,40,40,40,40,40,40,40,40,40,40
"3",40,40,40,40,20,40,40,40,40,40,40
"4",40,40,40,40,40,20,40,40,40,40,40
"5",40,40,40,40,40,40,40,40,40,40,40
"6",40,40,40,40,30,40,40,40,40,40,40
"7",30,40,40,40,20,40,40,40,40,40,40
"8",40,40,40,40,30,40,40,40,30,30,40
"9",40,40,40,40,30,30,30,40,40,40,30
"10",40,40,40,40,30,30,40,40,40,40,40
"11",40,40,40,40,40,40,40,40,40,40,40
"12",40,40,40,40,30,40,40,40,40,40,40
"13",40,40,40,40,40,40,40,40,40,40,40
"14",40,40,40,40,40,40,30,40,40,40,30
"15",40,40,40,30,30,30,30,30,40,30,30
"16",40,40,30,40,30,30,30,30,40,40,40
"17",40,40,40,40,40,40,40,40,40,40,40
"18",40,40,40,40,40,40,40,40,30,40,40
"19",40,40,40,40,40,40,40,40,40,40,40
"20",40,40,40,40,30,40,40,40,30,30,40
"21",40,40,40,40,30,40,40,40,30,40,40
"22",40,40,40,40,40,40,40,40,40,40,40
"23",40,40,40,40,30,40,40,40,40,40,40
"24",40,40,30,30,30,30,30,40,40,40,40
"25",40,40,40,40,30,40,40,40,40,40,40
"26",40,40,30,30,30,30,40,40,30,40,30
"27",40,40,40,40,30,40,40,40,40,40,40
"28",40,40,40,40,40,40,40,40,40,40,40
"29",40,40,40,40,40,40,40,40,40,40,40
"30",40,40,40,40,30,40,30,40,40,40,40
"31",40,40,40,40,30,40,40,30,30,30,30
"32",40,40,40,40,30,30,40,40,40,40,30
"33",40,40,40,40,40,40,40,30,30,20,30
"34",30,30,40,40,40,30,30,40,30,30,30
"35",40,40,40,40,30,30,30,40,30,40,30
"36",40,40,40,40,40,40,30,40,30,30,30
"37",40,40,40,40,30,40,30,40,30,40,40
"38",40,40,40,40,40,40,40,40,30,30,20
"39",30,40,30,40,30,40,40,30,30,40,30
"40",40,40,40,30,30,40,40,40,30,30,30
"41",30,30,40,40,40,40,40,30,30,30,30
"42",40,40,40,40,30,30,30,30,30,30,40
"43",40,40,30,30,30,30,30,30,30,30,40
"44",40,40,30,30,30,30,30,30,30,30,30
"45",30,40,40,40,40,30,40,40,30,30,30
